time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-12-14T09:16:18.430Z,-31.7505,-176.1898,10,5,mb,,67,2.913,0.74,us,us200080pe,2016-12-14T09:38:11.040Z,"259km E of L'Esperance Rock, New Zealand",earthquake,9.8,1.9,0.058,94,reviewed,us,us
2016-12-14T08:14:31.380Z,38.5954,90.062,10,4.9,mb,,88,9.987,1.16,us,us200080p1,2016-12-14T08:42:44.040Z,"Xinjiang-Qinghai border region, China",earthquake,6.3,1.8,0.064,143,reviewed,us,us
2016-12-14T05:14:24.150Z,-10.6059,161.4989,40.04,4.8,mb,,98,1.918,0.48,us,us200080n2,2016-12-14T06:48:27.040Z,"49km WSW of Kirakira, Solomon Islands",earthquake,10.8,7.9,0.085,43,reviewed,us,us
2016-12-14T03:24:04.220Z,-10.4843,161.3969,10,5.3,mb,,45,1.765,1.05,us,us200080ml,2016-12-14T19:07:06.000Z,"57km W of Kirakira, Solomon Islands",earthquake,7.2,1.9,0.092,40,reviewed,us,us
2016-12-14T02:01:23.760Z,21.2944,144.4161,27.59,6,mww,,21,6.123,1.13,us,us200080m3,2016-12-14T22:13:16.436Z,"97km NNW of Farallon de Pajaros, Northern Mariana Islands",earthquake,7.3,3.3,,,reviewed,us,us
2016-12-13T23:51:31.000Z,-20.7097,-173.3963,10,5.2,mb,,77,3.646,1.19,us,us200080lb,2016-12-14T00:09:30.040Z,"141km SE of Pangai, Tonga",earthquake,11.3,1.9,0.088,43,reviewed,us,us
2016-12-13T22:57:07.000Z,-3.7214,131.4796,17.62,4.7,mb,,40,1.106,0.9,us,us200080ky,2016-12-13T23:14:58.040Z,"257km NNW of Tual, Indonesia",earthquake,6.2,4.6,0.079,49,reviewed,us,us
2016-12-13T22:46:38.110Z,39.3913,72.7621,10,4.5,mb,,64,1.94,0.99,us,us200080kt,2016-12-13T23:05:38.040Z,"56km SW of Sary-Tash, Kyrgyzstan",earthquake,5.6,1.9,0.131,17,reviewed,us,us
2016-12-13T21:39:29.770Z,12.3165,125.5311,35,4.8,mb,,119,9.928,0.9,us,us200080k8,2016-12-15T01:18:52.633Z,"12km NNE of Alugan, Philippines",earthquake,11,2,0.07,63,reviewed,us,us
2016-12-13T17:55:26.270Z,-25.9221,-179.5857,453.29,4.7,mb,,84,3.621,0.69,us,us200080i0,2016-12-14T15:42:34.040Z,South of the Fiji Islands,earthquake,11.8,2.5,0.083,44,reviewed,us,us
2016-12-13T15:50:30.470Z,-10.5421,161.1675,28.72,5,mb,,65,1.626,0.75,us,us200080ga,2016-12-13T17:03:16.040Z,"82km W of Kirakira, Solomon Islands",earthquake,8.2,5.4,0.064,77,reviewed,us,us
2016-12-13T13:27:32.070Z,24.9031,-109.509,10,4.5,mb,,136,1.275,0.77,us,us200080fu,2016-12-14T03:48:06.561Z,"89km SSW of Topolobampo, Mexico",earthquake,6.2,1.9,0.051,112,reviewed,us,us
2016-12-13T11:28:48.580Z,-6.7702,106.8092,118.03,4.5,mb,,109,3.616,0.59,us,us200080f6,2016-12-13T13:01:02.040Z,"3km ENE of Cicurug, Indonesia",earthquake,9.8,8.2,0.1,29,reviewed,us,us
2016-12-13T09:46:42.500Z,-2.3577,133.77,38.7,5,mb,,62,1.618,1.2,us,us200080ev,2016-12-13T10:05:21.040Z,"168km SSW of Manokwari, Indonesia",earthquake,8.3,6.6,0.089,41,reviewed,us,us
2016-12-13T08:11:57.690Z,39.2704,74.002,51.12,4.7,mb,,65,2.53,0.75,us,us200080er,2016-12-13T08:28:30.040Z,"48km NE of Karakul, Tajikistan",earthquake,8.3,5.9,0.094,34,reviewed,us,us
2016-12-13T06:05:01.860Z,6.2826,126.7024,126.64,4.6,mb,,116,1.362,0.63,us,us200080ef,2016-12-13T06:41:42.040Z,"58km E of Pondaguitan, Philippines",earthquake,10.6,7.5,0.071,59,reviewed,us,us
